symbol,entry_time,exit_time,side,source,R,reason
BTCUSD,2024-06-17 03:00:00+00:00,2024-06-17 08:00:00+00:00,short,trend,1.7834383883510987,tp
BTCUSD,2024-06-17 12:00:00+00:00,2024-06-17 13:00:00+00:00,long,squeeze,-1.2756455173032588,stop
BTCUSD,2024-06-17 16:00:00+00:00,2024-06-17 18:00:00+00:00,long,squeeze,1.9647774508436893,tp
BTCUSD,2024-06-18 04:00:00+00:00,2024-06-18 14:00:00+00:00,long,squeeze,-1.1295468176297243,stop
BTCUSD,2024-06-18 16:00:00+00:00,2024-06-18 20:00:00+00:00,long,squeeze,-1.1706527672074567,stop
BTCUSD,2024-06-19 22:00:00+00:00,2024-06-20 06:00:00+00:00,long,squeeze,1.9148427224012985,tp
BTCUSD,2024-06-20 08:00:00+00:00,2024-06-20 08:00:00+00:00,short,squeeze,-1.342604240837678,stop
BTCUSD,2024-06-20 13:00:00+00:00,2024-06-20 14:00:00+00:00,short,squeeze,1.908147908936991,tp
BTCUSD,2024-06-20 18:00:00+00:00,2024-06-21 04:00:00+00:00,long,squeeze,-1.2237800286663152,stop
BTCUSD,2024-06-21 14:00:00+00:00,2024-06-21 14:00:00+00:00,long,squeeze,-1.216988678498583,stop
BTCUSD,2024-06-23 12:00:00+00:00,2024-06-23 17:00:00+00:00,short,trend,1.500000000000021,tp
BTCUSD,2024-06-23 23:00:00+00:00,2024-06-23 23:00:00+00:00,long,squeeze,-1.50637243797939,stop
BTCUSD,2024-06-24 06:00:00+00:00,2024-06-24 06:00:00+00:00,long,squeeze,-1.267260035267855,stop
BTCUSD,2024-06-24 08:00:00+00:00,2024-06-24 10:00:00+00:00,long,squeeze,-1.2406599294271472,stop
BTCUSD,2024-06-24 19:00:00+00:00,2024-06-24 20:00:00+00:00,long,squeeze,-1.1202977456241991,stop
BTCUSD,2024-06-24 22:00:00+00:00,2024-06-25 04:00:00+00:00,long,squeeze,2.1032587158948233,tp
BTCUSD,2024-06-25 21:00:00+00:00,2024-06-26 20:00:00+00:00,short,squeeze,2.04313599189771,tp
BTCUSD,2024-06-26 22:00:00+00:00,2024-06-27 07:00:00+00:00,long,squeeze,-1.2213495129515175,stop
BTCUSD,2024-06-27 16:00:00+00:00,2024-06-28 02:00:00+00:00,short,squeeze,-1.2396554390833798,stop
