symbol,entry_time,exit_time,side,source,R,reason
SOLUSD,2024-05-17 18:00:00+00:00,2024-05-18 02:00:00+00:00,short,squeeze,-1.0889128232758605,stop
SOLUSD,2024-05-18 13:00:00+00:00,2024-05-18 15:00:00+00:00,short,squeeze,2.0477224053452048,tp
SOLUSD,2024-05-19 17:00:00+00:00,2024-05-20 03:00:00+00:00,long,squeeze,2.068368715083792,tp
SOLUSD,2024-05-20 08:00:00+00:00,2024-05-20 08:00:00+00:00,short,squeeze,-1.0991430048836566,stop
SOLUSD,2024-05-20 10:00:00+00:00,2024-05-20 17:00:00+00:00,short,squeeze,-1.102375411764701,stop
SOLUSD,2024-05-21 02:00:00+00:00,2024-05-21 13:00:00+00:00,short,squeeze,2.116769392416628,tp
SOLUSD,2024-05-21 15:00:00+00:00,2024-05-21 16:00:00+00:00,long,squeeze,-1.1153949999999997,stop
SOLUSD,2024-05-21 19:00:00+00:00,2024-05-21 20:00:00+00:00,long,squeeze,-1.114308642786718,stop
SOLUSD,2024-05-22 07:00:00+00:00,2024-05-22 09:00:00+00:00,long,trend,-1.112805710659895,stop
SOLUSD,2024-05-22 15:00:00+00:00,2024-05-22 19:00:00+00:00,long,trend,-1.105436505086774,stop
SOLUSD,2024-05-23 22:00:00+00:00,2024-05-23 22:00:00+00:00,long,squeeze,2.124003065134099,tp
SOLUSD,2024-05-26 02:00:00+00:00,2024-05-26 03:00:00+00:00,short,trend,2.0012237288135646,tp
SOLUSD,2024-05-26 18:00:00+00:00,2024-05-26 19:00:00+00:00,long,squeeze,-1.1347510341916351,stop
SOLUSD,2024-05-27 19:00:00+00:00,2024-05-27 20:00:00+00:00,short,squeeze,2.052139744155271,tp
SOLUSD,2024-05-28 03:00:00+00:00,2024-05-28 11:00:00+00:00,short,trend,-1.1118431239388773,stop
SOLUSD,2024-05-28 15:00:00+00:00,2024-05-28 15:00:00+00:00,short,squeeze,-1.0996808395802142,stop
SOLUSD,2024-05-29 18:00:00+00:00,2024-05-29 18:00:00+00:00,long,trend,-1.1113503480278435,stop
SOLUSD,2024-05-31 15:00:00+00:00,2024-05-31 17:00:00+00:00,short,trend,2.0341385938290313,tp
SOLUSD,2024-06-01 17:00:00+00:00,2024-06-02 00:00:00+00:00,short,squeeze,1.8271763367462863,tp
SOLUSD,2024-06-02 06:00:00+00:00,2024-06-02 08:00:00+00:00,long,squeeze,-1.312920231213873,stop
SOLUSD,2024-06-02 20:00:00+00:00,2024-06-02 21:00:00+00:00,long,squeeze,-1.1914995203837047,stop
SOLUSD,2024-06-03 04:00:00+00:00,2024-06-03 07:00:00+00:00,short,trend,-1.1636560081466478,stop
SOLUSD,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,short,squeeze,2.0345154471544795,tp
SOLUSD,2024-06-03 18:00:00+00:00,2024-06-03 18:00:00+00:00,short,trend,-1.1495046468401413,stop
SOLUSD,2024-06-04 16:00:00+00:00,2024-06-04 16:00:00+00:00,short,squeeze,-1.224939142461974,stop
SOLUSD,2024-06-05 04:00:00+00:00,2024-06-05 16:00:00+00:00,short,squeeze,-1.1526194881005825,stop
SOLUSD,2024-06-05 18:00:00+00:00,2024-06-06 17:00:00+00:00,short,squeeze,1.6347309499489295,timeout
SOLUSD,2024-06-06 19:00:00+00:00,2024-06-06 20:00:00+00:00,long,squeeze,-1.2274924324324221,stop
SOLUSD,2024-06-06 22:00:00+00:00,2024-06-07 03:00:00+00:00,long,squeeze,-1.1861562987736818,stop
SOLUSD,2024-06-09 21:00:00+00:00,2024-06-10 04:00:00+00:00,short,squeeze,1.9879826551034057,tp
SOLUSD,2024-06-10 21:00:00+00:00,2024-06-11 02:00:00+00:00,short,trend,2.0651123123123187,tp
SOLUSD,2024-06-11 04:00:00+00:00,2024-06-11 05:00:00+00:00,long,squeeze,-1.1116536922517342,stop
SOLUSD,2024-06-11 19:00:00+00:00,2024-06-12 11:00:00+00:00,long,squeeze,2.1145784997046664,tp
SOLUSD,2024-06-12 15:00:00+00:00,2024-06-12 20:00:00+00:00,short,squeeze,2.1016233144297365,tp
SOLUSD,2024-06-13 23:00:00+00:00,2024-06-14 02:00:00+00:00,long,squeeze,-1.104594590696002,stop
SOLUSD,2024-06-14 14:00:00+00:00,2024-06-14 15:00:00+00:00,short,squeeze,2.0439688339602355,tp
SOLUSD,2024-06-14 17:00:00+00:00,2024-06-14 17:00:00+00:00,long,squeeze,-1.1303762962962978,stop
SOLUSD,2024-06-14 20:00:00+00:00,2024-06-15 17:00:00+00:00,long,squeeze,2.097267210682499,tp
SOLUSD,2024-06-15 22:00:00+00:00,2024-06-15 22:00:00+00:00,short,trend,-1.2181709876543247,stop
SOLUSD,2024-06-16 18:00:00+00:00,2024-06-16 22:00:00+00:00,short,squeeze,-1.1896501632919736,stop
SOLUSD,2024-06-17 02:00:00+00:00,2024-06-17 03:00:00+00:00,short,squeeze,2.0248693998811667,tp
SOLUSD,2024-06-17 18:00:00+00:00,2024-06-18 01:00:00+00:00,long,squeeze,-1.0923088457744163,stop
SOLUSD,2024-06-19 03:00:00+00:00,2024-06-19 04:00:00+00:00,short,squeeze,-1.0698791418971312,stop
SOLUSD,2024-06-20 06:00:00+00:00,2024-06-20 08:00:00+00:00,long,squeeze,2.086573448275866,tp
SOLUSD,2024-06-20 13:00:00+00:00,2024-06-20 14:00:00+00:00,short,squeeze,2.094971450557913,tp
SOLUSD,2024-06-20 18:00:00+00:00,2024-06-21 08:00:00+00:00,long,squeeze,-1.0884623517451724,stop
SOLUSD,2024-06-21 17:00:00+00:00,2024-06-21 20:00:00+00:00,short,trend,-1.0940270270270334,stop
SOLUSD,2024-06-22 01:00:00+00:00,2024-06-23 00:00:00+00:00,short,squeeze,0.32843381014304146,timeout
SOLUSD,2024-06-24 04:00:00+00:00,2024-06-24 06:00:00+00:00,long,squeeze,-1.1123561792666343,stop
SOLUSD,2024-06-24 11:00:00+00:00,2024-06-24 22:00:00+00:00,long,squeeze,2.1143120360735352,tp
SOLUSD,2024-06-26 18:00:00+00:00,2024-06-27 13:00:00+00:00,long,squeeze,2.0749075046904317,tp
SOLUSD,2024-06-27 16:00:00+00:00,2024-06-27 22:00:00+00:00,short,squeeze,-1.0975253279515655,stop
SOLUSD,2024-06-28 17:00:00+00:00,2024-06-28 17:00:00+00:00,long,squeeze,-1.0997443930224329,stop
SOLUSD,2024-06-28 19:00:00+00:00,2024-06-28 22:00:00+00:00,long,squeeze,-1.091363065741661,stop
SOLUSD,2024-06-29 17:00:00+00:00,2024-06-29 18:00:00+00:00,long,trend,-1.219467610062897,stop
SOLUSD,2024-06-30 03:00:00+00:00,2024-06-30 03:00:00+00:00,long,squeeze,-1.2042518628912213,stop
SOLUSD,2024-06-30 07:00:00+00:00,2024-06-30 08:00:00+00:00,long,squeeze,2.0070467048710583,tp
SOLUSD,2024-06-30 22:00:00+00:00,2024-06-30 23:00:00+00:00,short,squeeze,-1.1538445291235817,stop
SOLUSD,2024-07-01 18:00:00+00:00,2024-07-02 04:00:00+00:00,short,squeeze,-1.1463710965133904,stop
SOLUSD,2024-07-02 15:00:00+00:00,2024-07-02 19:00:00+00:00,short,squeeze,-1.1394319617224782,stop
